# delta_L(z=0)            delta_SC                  ddelta_SC/ddelta_L
-8.803626076377650378e+00 -9.487835037521206161e-01 7.686462153640123002e-03
-8.789949670331154152e+00 -9.486782019211937866e-01 7.712608549846793234e-03
-8.776293244332455501e+00 -9.485726962771341420e-01 7.738840492274332711e-03
-8.762656769054693484e+00 -9.484669864707795384e-01 7.765158244309761093e-03
-8.749040215214414218e+00 -9.483610721525305154e-01 7.791562070071895475e-03
-8.735443553571519359e+00 -9.482549529723501847e-01 7.818052234412998375e-03
-8.721866754929196830e+00 -9.481486285797643410e-01 7.844629002920499444e-03
-8.708309790133851536e+00 -9.480420986238619063e-01 7.871292641918542846e-03
-8.694772630075053854e+00 -9.479353627532940418e-01 7.898043418469787025e-03
-8.681255245685472133e+00 -9.478284206162752579e-01 7.924881600376954688e-03
-8.667757607940798081e+00 -9.477212718605826369e-01 7.951807456184546707e-03
-8.654279687859700587e+00 -9.476139161335564998e-01 7.978821255180538682e-03
-8.640821456503752884e+00 -9.475063530821000723e-01 8.005923267397950863e-03
-8.627382884977368604e+00 -9.473985823526797079e-01 8.033113763616666139e-03
-8.613963944427750263e+00 -9.472906035913249978e-01 8.060393015364972213e-03
-8.600564606044802218e+00 -9.471824164436286608e-01 8.087761294921280708e-03
-8.587184841061104024e+00 -9.470740205547467649e-01 8.115218875315860156e-03
-8.573824620751812731e+00 -9.469654155693989495e-01 8.142766030332407659e-03
-8.560483916434620255e+00 -9.468566011318680919e-01 8.170403034509830451e-03
-8.547162699469682323e+00 -9.467475768860008634e-01 8.198130163143862656e-03
-8.533860941259565180e+00 -9.466383424752073950e-01 8.225947692288789609e-03
-8.520578613249169209e+00 -9.465288975424618334e-01 8.253855898759066348e-03
-8.507315686925684517e+00 -9.464192417303017857e-01 8.281855060131130403e-03
-8.494072133818516335e+00 -9.463093746808288742e-01 8.309945454744959575e-03
-8.480847925499219286e+00 -9.461992960357090698e-01 8.338127361705839624e-03
-8.467643033581452983e+00 -9.460890054361722479e-01 8.366401060886024393e-03
-8.454457429720903860e+00 -9.459785025230122990e-01 8.394766832926470537e-03
-8.441291085615228340e+00 -9.458677869365876845e-01 8.423224959238482037e-03
-8.428143973003994205e+00 -9.457568583168214360e-01 8.451775722005446662e-03
-8.415016063668611324e+00 -9.456457163032009339e-01 8.480419404184466603e-03
-8.401907329432290794e+00 -9.455343605347781288e-01 8.509156289508249330e-03
-8.388817742159949020e+00 -9.454227906501700973e-01 8.537986662486502301e-03
-8.375747273758177514e+00 -9.453110062875585973e-01 8.566910808407964331e-03
-8.362695896175171839e+00 -9.451990070846905123e-01 8.595929013341878366e-03
-8.349663581400657009e+00 -9.450867926788777407e-01 8.625041564139788661e-03
-8.336650301465851953e+00 -9.449743627069976393e-01 8.654248748437291111e-03
