# variances: var_g = 4.85771e-02 ;  cov_gk = 5.81613e-04 ;  var_k_correlated = 8.96469e-06 ;  var_k_uncorrelated = 4.05325e-05
# shift params: lambda_g = 1.46148e+00 ;  lambda_k_correlated = 2.44045e-02 ;  lambda_k_uncorrelated = 5.73463e-02
# ell          C_gg(ell)          C_gk(ell)          C_kk_correlated(ell)          C_kk_uncorrelated(ell)
287    4.64685e-06    5.58693e-08    8.62417e-10    3.83336e-09
288    4.62520e-06    5.55979e-08    8.57722e-10    3.81579e-09
289    4.60396e-06    5.53309e-08    8.53066e-10    3.79836e-09
290    4.58310e-06    5.50681e-08    8.48450e-10    3.78108e-09
291    4.56261e-06    5.48093e-08    8.43874e-10    3.76395e-09
292    4.54246e-06    5.45542e-08    8.39338e-10    3.74695e-09
293    4.52262e-06    5.43028e-08    8.34842e-10    3.73010e-09
294    4.50308e-06    5.40547e-08    8.30385e-10    3.71338e-09
295    4.48381e-06    5.38097e-08    8.25968e-10    3.69680e-09
296    4.46479e-06    5.35677e-08    8.21590e-10    3.68035e-09
297    4.44600e-06    5.33284e-08    8.17251e-10    3.66403e-09
298    4.42741e-06    5.30917e-08    8.12950e-10    3.64784e-09
299    4.40902e-06    5.28573e-08    8.08689e-10    3.63177e-09
300    4.39079e-06    5.26251e-08    8.04466e-10    3.61584e-09
301    4.37271e-06    5.23949e-08    8.00281e-10    3.60003e-09
302    4.35475e-06    5.21665e-08    7.96134e-10    3.58434e-09
303    4.33692e-06    5.19397e-08    7.92025e-10    3.56877e-09
304    4.31917e-06    5.17145e-08    7.87953e-10    3.55332e-09
305    4.30151e-06    5.14906e-08    7.83918e-10    3.53799e-09
306    4.28390e-06    5.12679e-08    7.79921e-10    3.52278e-09
307    4.26635e-06    5.10463e-08    7.75959e-10    3.50768e-09
308    4.24884e-06    5.08256e-08    7.72034e-10    3.49270e-09
309    4.23135e-06    5.06058e-08    7.68145e-10    3.47783e-09
310    4.21387e-06    5.03867e-08    7.64292e-10    3.46307e-09
311    4.19639e-06    5.01683e-08    7.60474e-10    3.44842e-09
312    4.17890e-06    4.99504e-08    7.56691e-10    3.43388e-09
313    4.16140e-06    4.97330e-08    7.52943e-10    3.41944e-09
314    4.14387e-06    4.95159e-08    7.49229e-10    3.40511e-09
315    4.12632e-06    4.92992e-08    7.45549e-10    3.39089e-09
316    4.10873e-06    4.90827e-08    7.41903e-10    3.37677e-09
317    4.09109e-06    4.88665e-08    7.38291e-10    3.36276e-09
318    4.07341e-06    4.86505e-08    7.34712e-10    3.34884e-09
319    4.05568e-06    4.84346e-08    7.31166e-10    3.33503e-09
320    4.03791e-06    4.82188e-08    7.27652e-10    3.32131e-09
321    4.02008e-06    4.80031e-08    7.24171e-10    3.30769e-09
322    4.00219e-06    4.77876e-08    7.20721e-10    3.29417e-09
323    3.98426e-06    4.75721e-08    7.17304e-10    3.28075e-09
324    3.96628e-06    4.73567e-08    7.13917e-10    3.26742e-09
325    3.94825e-06    4.71415e-08    7.10562e-10    3.25418e-09
326    3.93017e-06    4.69263e-08    7.07238e-10    3.24104e-09
327    3.91205e-06    4.67113e-08    7.03944e-10    3.22799e-09
328    3.89389e-06    4.64965e-08    7.00680e-10    3.21502e-09
329    3.87569e-06    4.62818e-08    6.97446e-10    3.20215e-09
330    3.85747e-06    4.60674e-08    6.94241e-10    3.18937e-09
331    3.83922e-06    4.58533e-08    6.91066e-10    3.17667e-09
332    3.82095e-06    4.56394e-08    6.87920e-10    3.16407e-09
333    3.80267e-06    4.54259e-08    6.84802e-10    3.15154e-09
334    3.78438e-06    4.52128e-08    6.81713e-10    3.13911e-09
335    3.76610e-06    4.50002e-08    6.78652e-10    3.12676e-09
336    3.74782e-06    4.47880e-08    6.75618e-10    3.11449e-09
337    3.72956e-06    4.45764e-08    6.72612e-10    3.10230e-09
338    3.71132e-06    4.43654e-08    6.69632e-10    3.09020e-09
339    3.69311e-06    4.41551e-08    6.66679e-10    3.07817e-09
340    3.67494e-06    4.39455e-08    6.63753e-10    3.06623e-09
341    3.65682e-06    4.37367e-08    6.60852e-10    3.05437e-09
342    3.63875e-06    4.35287e-08    6.57977e-10    3.04258e-09
343    3.62075e-06    4.33217e-08    6.55127e-10    3.03088e-09
344    3.60282e-06    4.31156e-08    6.52302e-10    3.01925e-09
345    3.58496e-06    4.29105e-08    6.49502e-10    3.00770e-09
346    3.56719e-06    4.27064e-08    6.46725e-10    2.99622e-09
